Id,Hazard
6,2.476
7,4.938
8,6.21
9,3.588
10,2.878
11,3.476
13,4.414
14,5.254
16,3.656
17,3.198
18,5.976
20,3.286
27,6.366
28,4.31
29,2.984
30,3.39
34,3.202
35,4.014
36,4.798
37,4.122
38,3.49
40,4.652
42,4.602
46,3.912
47,4.3
48,4.898
49,7.014
51,4.208
52,4.624
53,2.004
54,3.138
55,3.212
56,5.616
57,2.61
60,5.438
61,3.444
64,5.486
65,4.09
66,4.79
68,5.03
70,3.306
71,2.226
75,2.86
76,4.666
78,5.816
80,3.256
81,6.152
82,5.42
83,4.238
85,3.004
86,2.56
87,3.316
89,3.806
90,4.956
91,3.78
92,5.17
95,3.552
97,5.576
99,3.99
101,4.128
102,4.808
103,2.944
104,3.902
107,4.824
108,4.114
111,3.232
112,6.232
115,4.152
119,3.102
121,3.868
124,3.25
128,6.098
130,4.88
131,4.978
133,7.298
134,5.186
137,3.496
138,4.046
142,6.058
143,4.548
144,7.24
145,5.054
147,3.032
148,5.744
152,2.962
154,11.842
158,3.034
159,4.064
160,4.386
161,4.818
164,2.306
165,3.284
166,2.33
167,3.058
169,4.322
170,4.948
171,5.398
175,3.612
177,4.416
178,5.492
180,7.06
182,3.782
184,7.21
185,5.746
186,4.228
190,4.406
191,3.562
192,2.28
195,5.32
196,5.852
197,3.762
198,2.738
199,5.972
200,3.58
204,2.798
205,4.178
207,2.442
208,4.216
209,7.78
211,5.496
216,6.91
217,1.928
220,4.22
223,5.398
224,4.844
230,3.556
232,3.492
235,3.946
236,5.67
238,3.738
240,3.054
242,4.498
244,3.976
245,3.616
248,4.11
251,4.354
256,3.7
258,5.236
259,4.49
261,5.01
267,4.946
268,4.012
270,4.998
272,7.338
273,3.256
275,1.704
276,3.48
277,5.604
279,3.7
283,4.648
284,4.4
286,3.06
287,3.718
288,2.6
289,6.038
292,4.05
293,4.696
295,4.662
297,3.62
301,4.544
303,3.07
304,3.52
305,2.708
308,3.364
309,3.818
313,3.848
314,4.48
315,3.682
316,3.45
318,4.916
320,5.854
324,4.342
325,4.288
326,3.024
327,3.88
328,5.6
332,3.988
333,7.98
336,3.508
339,3.868
340,5.06
342,4.69
344,5.696
345,3.562
346,3.658
349,4.682
353,4.296
355,3.9
360,2.826
363,4.34
366,3.388
367,2.744
369,4.032
371,4.926
372,3.15
374,2.812
375,3.13
378,3.688
379,2.994
381,4.03
382,2.886
384,2.848
385,2.354
387,4.696
388,3.016
389,5.19
390,4.342
393,4.054
394,6.688
395,3.714
397,2.198
398,4.302
399,3.806
403,3.784
404,2.914
406,2.84
407,3.446
410,2.854
411,3.894
412,1.852
413,5.226
417,4.146
419,3.214
422,5.13
425,3.344
426,3.534
427,5.79
432,3.802
434,3.762
437,3.362
438,3.934
440,5.134
441,5.746
443,2.578
445,4.606
447,2.904
449,3.8
450,3.298
451,3.188
453,5.982
455,2.764
456,4.834
459,4.804
461,2.872
463,3.554
466,6.37
467,3.32
469,3.556
470,5.32
472,5.176
477,4.046
481,3.388
485,4.76
492,3.672
494,4.234
497,4.0
503,2.792
504,4.898
507,4.568
509,3.224
511,5.514
512,3.322
513,2.948
516,6.514
517,2.602
518,3.576
522,3.9
525,2.572
526,3.388
527,6.126
529,3.576
534,5.796
538,2.342
540,5.63
541,1.912
542,5.0
543,7.168
544,5.02
546,3.088
547,3.274
550,3.916
554,4.362
556,2.522
558,4.346
559,3.338
560,5.124
564,4.826
565,1.928
566,4.316
567,5.666
568,3.998
570,3.33
571,3.754
575,3.934
576,5.35
585,2.692
586,3.894
589,2.786
590,4.452
591,4.242
593,3.114
594,2.944
595,2.976
596,3.476
597,4.304
598,3.758
599,3.666
600,4.546
601,3.824
609,3.766
613,4.68
619,5.962
620,4.968
621,6.49
622,4.34
623,2.682
625,5.344
626,2.746
628,2.788
629,3.992
633,4.244
634,4.138
635,7.712
636,3.158
637,3.864
638,3.322
639,3.744
640,4.836
643,4.702
645,4.088
646,5.126
647,3.178
649,3.054
650,4.57
654,4.574
656,3.068
657,3.952
661,5.754
662,3.498
663,4.422
664,3.212
667,3.414
668,4.256
672,2.552
673,3.754
675,4.13
676,2.48
677,3.412
678,5.416
679,5.794
682,2.932
684,4.14
686,3.888
687,6.964
688,3.966
689,3.34
690,4.042
691,4.938
693,4.07
694,3.382
695,3.234
696,3.174
699,4.804
702,6.68
703,2.528
704,2.62
705,2.49
708,5.528
709,3.982
710,4.182
711,5.102
712,4.764
713,5.4
714,3.102
724,4.284
725,3.528
727,2.382
729,3.154
731,4.762
732,3.858
735,3.954
736,3.86
738,3.412
739,3.51
741,5.038
744,3.308
745,4.748
749,3.426
750,4.564
753,3.208
754,4.016
756,3.732
759,4.93
763,4.124
764,4.082
765,5.12
770,4.89
773,3.628
774,4.01
778,3.136
780,4.048
781,4.544
783,7.958
784,4.266
790,3.814
791,5.114
792,3.152
793,2.37
794,4.246
795,3.206
796,4.06
801,5.704
802,4.76
805,3.958
808,3.402
809,4.228
813,3.598
814,7.986
815,1.682
816,5.876
817,2.65
821,4.136
822,3.384
823,3.682
825,3.734
826,3.448
830,2.372
832,4.668
833,4.114
835,2.444
837,3.074
838,3.022
839,2.626
841,5.1
842,3.406
844,5.536
853,3.002
855,4.26
858,4.118
859,2.87
860,3.0
861,3.15
862,2.674
868,2.99
869,6.126
874,5.314
875,3.294
877,4.912
879,3.624
885,4.112
886,3.478
887,4.126
892,4.764
894,3.29
896,4.568
898,2.818
899,4.25
900,5.086
901,2.972
903,4.932
904,7.798
906,3.458
907,5.018
908,4.224
909,3.43
915,3.588
916,5.5
917,4.12
921,2.816
922,5.606
923,5.602
924,4.42
927,5.45
929,2.622
932,3.492
934,2.326
935,6.502
937,3.796
940,3.046
944,4.792
946,4.654
948,5.18
950,6.716
952,3.236
953,4.394
956,2.688
959,4.756
960,4.658
961,3.338
962,4.988
966,4.7
968,4.83
969,4.28
971,4.198
972,3.53
978,3.364
983,5.006
984,4.82
985,3.768
987,3.216
988,4.464
989,5.012
991,3.758
992,4.536
993,3.318
997,4.754
999,2.672
1003,1.932
1006,5.478
1007,5.144
1013,3.206
1015,3.24
1016,2.474
1017,3.42
1018,8.334
1019,3.948
1020,3.388
1021,5.392
1023,3.172
1025,3.612
1027,2.77
1028,5.176
1029,4.688
1032,4.644
1035,3.302
1039,3.04
1040,4.968
1041,2.212
1043,2.982
1045,4.48
1046,5.278
1049,3.452
1054,6.804
1056,4.492
1057,4.43
1058,4.244
1060,6.446
1061,2.704
1062,4.364
1063,4.23
1066,3.714
1071,2.952
1072,2.334
1076,5.872
1077,3.956
1078,3.334
1082,4.546
1083,3.204
1085,4.552
1086,5.232
1088,3.692
1089,6.778
1090,5.512
1093,4.274
1094,5.05
1095,3.78
1096,4.334
1097,3.338
1098,4.144
1103,4.228
1104,3.524
1109,3.368
1110,4.644
1111,4.754
1113,2.982
1114,2.366
1115,2.956
1117,4.348
1118,2.864
1121,4.57
1122,3.142
1124,4.608
1125,2.984
1126,4.058
1127,2.73
1128,5.384
1130,3.606
1132,3.938
1135,4.67
1136,3.646
1139,5.076
1140,4.386
1141,3.55
1147,4.75
1150,6.662
1152,4.756
1154,5.5
1157,2.848
1158,3.148
1160,5.408
1162,3.59
1163,2.432
1164,3.352
1171,3.492
1173,3.052
1174,4.75
1176,3.35
1178,4.68
1182,4.174
1185,4.362
1188,2.836
1189,2.43
1192,5.584
1194,3.176
1195,3.662
1199,4.218
1200,3.124
1203,5.796
1204,5.896
1206,4.544
1209,3.912
1214,5.072
1215,3.976
1217,3.778
1219,4.916
1220,4.042
1221,3.794
1222,5.04
1223,2.262
1225,4.498
1226,2.302
1228,5.364
1229,3.874
1231,2.624
1233,4.162
1234,4.464
1235,3.394
1236,4.712
1238,4.436
1240,5.248
1241,5.166
1242,7.534
1244,2.99
1245,2.574
1248,3.688
1250,3.08
1251,3.372
1252,5.568
1253,6.622
1255,3.576
1258,3.254
1261,4.92
1262,4.714
1267,3.71
1268,3.718
1270,3.504
1271,7.366
1274,4.17
1275,2.722
1276,4.336
1277,3.452
1279,3.498
1280,3.964
1281,3.71
1282,4.972
1285,5.312
1289,1.894
1293,2.67
1294,5.59
1295,4.98
1296,3.688
1298,4.872
1300,3.56
1301,4.084
1302,2.982
1303,2.334
1304,5.076
1306,5.264
1308,5.024
1311,3.952
1312,2.84
1313,4.424
1314,4.888
1315,3.106
1316,2.322
1317,4.628
1319,3.214
1320,2.97
1321,3.976
1322,5.468
1324,4.428
1326,3.392
1327,5.126
1328,3.15
1329,4.066
1330,5.14
1332,5.484
1333,5.402
1334,5.542
1335,3.56
1336,4.178
1339,3.122
1344,3.594
1346,5.12
1350,3.456
1351,3.776
1352,3.772
1354,3.566
1356,3.214
1358,6.058
1359,7.524
1361,2.972
1363,2.58
1364,3.522
1366,2.932
1368,3.56
1370,3.448
1371,2.98
1374,3.892
1375,2.934
1376,4.36
1377,4.274
1379,4.114
1380,4.19
1382,3.46
1384,3.93
1387,7.21
1388,6.636
1393,4.676
1395,3.908
1396,4.288
1398,4.582
1399,2.3
1401,2.646
1403,2.58
1404,4.334
1405,5.982
1408,4.31
1409,3.492
1411,3.518
1413,4.162
1414,3.848
1415,4.164
1417,3.124
1419,5.068
1421,4.342
1423,3.326
1427,7.67
1429,3.054
1430,4.584
1433,4.442
1434,3.202
1436,4.05
1438,4.604
1441,3.08
1443,5.428
1447,4.054
1451,3.402
1457,5.192
1459,5.402
1460,3.444
1462,4.06
1464,3.958
1466,3.732
1467,3.57
1469,3.322
1472,3.412
1475,4.212
1476,2.486
1479,5.496
1480,4.434
1483,5.28
1484,2.57
1485,4.474
1488,3.394
1490,3.452
1492,3.738
1493,5.154
1495,4.094
1496,4.232
1499,3.03
1502,3.626
1503,3.964
1505,2.612
1509,4.126
1510,3.158
1511,6.322
1512,2.712
1513,6.052
1515,3.086
1517,3.762
1520,3.44
1522,4.962
1523,4.01
1524,4.612
1526,3.768
1527,9.132
1528,4.972
1529,2.73
1533,3.924
1536,3.976
1537,4.516
1540,5.354
1541,3.204
1543,4.756
1544,3.888
1546,5.726
1548,8.75
1549,3.952
1550,4.256
1552,4.826
1553,3.922
1554,4.004
1555,5.458
1560,3.144
1564,2.576
1567,5.07
1570,2.636
1571,3.99
1573,2.99
1575,3.884
1576,3.902
1579,2.566
1580,3.054
1582,2.902
1583,4.864
1586,3.334
1587,3.98
1590,5.034
1591,3.51
1595,4.114
1597,4.728
1602,3.736
1603,3.116
1604,2.76
1605,3.094
1606,4.75
1607,3.978
1610,4.212
1611,4.266
1614,5.05
1617,4.476
1619,3.716
1623,4.294
1625,3.628
1626,3.618
1627,2.828
1632,4.276
1633,2.782
1634,3.352
1635,4.768
1636,5.452
1638,4.622
1639,2.782
1641,3.984
1644,7.464
1645,3.824
1649,3.456
1650,3.438
1651,3.472
1653,4.548
1654,3.572
1656,3.822
1657,4.452
1658,3.244
1659,4.006
1660,4.676
1661,5.466
1663,3.016
1664,3.816
1666,2.974
1667,6.122
1668,4.248
1669,3.212
1670,5.826
1671,4.162
1672,3.358
1678,5.302
1682,3.292
1683,2.834
1687,4.71
1689,6.628
1690,3.496
1692,2.95
1693,3.686
1696,3.118
1698,3.848
1700,7.55
1702,4.472
1704,3.168
1706,3.238
1707,4.508
1710,5.202
1711,3.46
1712,4.752
1717,3.152
1721,3.786
1722,3.67
1723,10.614
1725,2.584
1729,3.95
1730,4.372
1732,4.274
1733,3.676
1735,3.224
1737,4.0
1739,2.814
1740,3.43
1741,3.608
1742,5.046
1744,8.288
1746,4.466
1752,2.496
1753,3.306
1754,4.916
1757,3.534
1759,4.29
1760,4.62
1761,4.83
1762,2.368
1763,4.03
1765,4.33
1766,4.148
1767,3.068
1769,3.548
1770,2.498
1771,4.346
1772,4.286
1774,3.87
1775,10.06
1778,7.62
1780,3.356
1781,5.96
1782,6.38
1785,2.248
1788,4.67
1790,3.092
1791,2.306
1792,4.014
1793,5.018
1795,7.928
1796,3.944
1798,3.768
1799,5.718
1801,4.376
1803,3.896
1805,3.444
1806,5.342
1811,4.986
1817,3.28
1820,2.906
1824,4.166
1827,5.596
1828,4.832
1829,3.3
1831,6.798
1832,2.812
1833,3.75
1834,3.654
1835,4.412
1839,4.49
1840,4.38
1842,4.37
1844,3.97
1845,3.904
1847,7.106
1848,4.828
1851,5.658
1852,5.612
1853,3.604
1857,4.804
1860,3.164
1861,3.212
1863,6.02
1864,5.202
1865,3.536
1867,5.234
1868,5.578
1870,5.252
1871,4.41
1873,4.04
1875,3.978
1876,4.776
1878,5.318
1881,3.446
1883,3.178
1884,6.81
1885,4.264
1887,3.658
1888,2.69
1889,3.426
1890,3.722
1892,4.428
1895,2.364
1896,2.728
1899,2.54
1901,3.318
1907,5.148
1908,5.038
1912,4.572
1913,5.212
1914,3.95
1920,3.144
1921,3.496
1925,3.33
1926,4.576
1927,4.41
1929,3.098
1930,7.498
1931,2.386
1932,3.178
1933,3.492
1935,3.728
1936,2.382
1937,3.698
1939,4.74
1940,5.308
1943,5.362
1946,4.962
1949,3.778
1951,3.142
1952,3.106
1956,3.956
1957,4.41
1958,4.15
1959,5.058
1960,5.264
1962,4.554
1963,3.716
1964,2.298
1965,3.692
1968,2.716
1969,4.95
1972,6.976
1976,3.632
1979,4.032
1981,5.258
1985,3.16
1988,4.114
1991,2.512
1994,5.356
1995,6.446
1998,4.498
2001,5.89
2002,4.572
2003,4.852
2005,4.548
2006,3.052
2007,4.234
2010,3.14
2012,5.702
2014,4.194
2015,3.738
2017,5.532
2019,2.82
2020,3.736
2021,3.22
2023,5.948
2024,2.278
2026,4.694
